Precision: .04, Recall: .80, Average Precision: .63, Reciprocal Rank: 1.00, Precision At Rank 5: .40, Precision At Rank 20: .20
DOCID: CACM-3127, DocREL: true, DocPrecision: 1.00, DocRecall: .20
DOCID: CACM-2246, DocREL: true, DocPrecision: 1.00, DocRecall: .40
DOCID: CACM-1750, DocREL: false, DocPrecision: .67, DocRecall: .40
DOCID: CACM-3068, DocREL: false, DocPrecision: .50, DocRecall: .40
DOCID: CACM-1591, DocREL: false, DocPrecision: .40, DocRecall: .40
DOCID: CACM-2319, DocREL: false, DocPrecision: .33, DocRecall: .40
DOCID: CACM-1462, DocREL: false, DocPrecision: .29, DocRecall: .40
DOCID: CACM-2740, DocREL: false, DocPrecision: .25, DocRecall: .40
DOCID: CACM-1680, DocREL: false, DocPrecision: .22, DocRecall: .40
DOCID: CACM-2379, DocREL: false, DocPrecision: .20, DocRecall: .40
DOCID: CACM-2424, DocREL: false, DocPrecision: .18, DocRecall: .40
DOCID: CACM-2629, DocREL: true, DocPrecision: .25, DocRecall: .60
DOCID: CACM-2372, DocREL: false, DocPrecision: .23, DocRecall: .60
DOCID: CACM-2080, DocREL: true, DocPrecision: .29, DocRecall: .80
DOCID: CACM-1930, DocREL: false, DocPrecision: .27, DocRecall: .80
DOCID: CACM-3196, DocREL: false, DocPrecision: .25, DocRecall: .80
DOCID: CACM-2482, DocREL: false, DocPrecision: .24, DocRecall: .80
DOCID: CACM-3174, DocREL: false, DocPrecision: .22, DocRecall: .80
DOCID: CACM-2597, DocREL: false, DocPrecision: .21, DocRecall: .80
DOCID: CACM-1534, DocREL: false, DocPrecision: .20, DocRecall: .80
DOCID: CACM-2317, DocREL: false, DocPrecision: .19, DocRecall: .80
DOCID: CACM-1461, DocREL: false, DocPrecision: .18, DocRecall: .80
DOCID: CACM-3025, DocREL: false, DocPrecision: .17, DocRecall: .80
DOCID: CACM-1247, DocREL: false, DocPrecision: .17, DocRecall: .80
DOCID: CACM-2840, DocREL: false, DocPrecision: .16, DocRecall: .80
DOCID: CACM-1755, DocREL: false, DocPrecision: .15, DocRecall: .80
DOCID: CACM-2867, DocREL: false, DocPrecision: .15, DocRecall: .80
DOCID: CACM-2796, DocREL: false, DocPrecision: .14, DocRecall: .80
DOCID: CACM-2868, DocREL: false, DocPrecision: .14, DocRecall: .80
DOCID: CACM-2151, DocREL: false, DocPrecision: .13, DocRecall: .80
DOCID: CACM-1226, DocREL: false, DocPrecision: .13, DocRecall: .80
DOCID: CACM-2632, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-2950, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-1902, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-2622, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-1472, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-3050, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-1728, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-2378, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-1519, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-1752, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-1747, DocREL: false, DocPrecision: .10, DocRecall: .80
