Precision: .03, Recall: 1.00, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .60, Precision At Rank 20: .15
DOCID: CACM-2434, DocREL: true, DocPrecision: 1.00, DocRecall: .33
DOCID: CACM-2863, DocREL: true, DocPrecision: 1.00, DocRecall: .67
DOCID: CACM-3078, DocREL: true, DocPrecision: 1.00, DocRecall: 1.00
DOCID: CACM-1307, DocREL: false, DocPrecision: .75, DocRecall: 1.00
DOCID: CACM-2714, DocREL: false, DocPrecision: .60, DocRecall: 1.00
DOCID: CACM-0276, DocREL: false, DocPrecision: .50, DocRecall: 1.00
DOCID: CACM-0586, DocREL: false, DocPrecision: .43, DocRecall: 1.00
DOCID: CACM-0942, DocREL: false, DocPrecision: .38, DocRecall: 1.00
DOCID: CACM-0578, DocREL: false, DocPrecision: .33, DocRecall: 1.00
DOCID: CACM-3202, DocREL: false, DocPrecision: .30, DocRecall: 1.00
DOCID: CACM-1364, DocREL: false, DocPrecision: .27, DocRecall: 1.00
DOCID: CACM-0616, DocREL: false, DocPrecision: .25, DocRecall: 1.00
DOCID: CACM-3129, DocREL: false, DocPrecision: .23, DocRecall: 1.00
DOCID: CACM-0352, DocREL: false, DocPrecision: .21, DocRecall: 1.00
DOCID: CACM-1010, DocREL: false, DocPrecision: .20, DocRecall: 1.00
DOCID: CACM-1012, DocREL: false, DocPrecision: .19, DocRecall: 1.00
DOCID: CACM-1861, DocREL: false, DocPrecision: .18, DocRecall: 1.00
DOCID: CACM-2939, DocREL: false, DocPrecision: .17, DocRecall: 1.00
DOCID: CACM-0047, DocREL: false, DocPrecision: .16, DocRecall: 1.00
DOCID: CACM-0033, DocREL: false, DocPrecision: .15, DocRecall: 1.00
DOCID: CACM-2250, DocREL: false, DocPrecision: .14, DocRecall: 1.00
DOCID: CACM-1623, DocREL: false, DocPrecision: .14, DocRecall: 1.00
DOCID: CACM-2120, DocREL: false, DocPrecision: .13, DocRecall: 1.00
DOCID: CACM-3136, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-0597, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-2519, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-1264, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-2651, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-1046, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-3056, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-0435, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-1977, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-2937, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-1305, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-0492, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-1625, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-0626, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-1931, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-1867, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-0282, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-1214, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-2554, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-2304, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-2650, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-3105, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-1671, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-1619, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-0867, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1182, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-0108, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1215, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-0246, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1591, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1590, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1614, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1334, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1168, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-3180, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1062, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-2812, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-0679, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1112, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1315, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1014, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-2664, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1652, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1272, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1345, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1290, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2017, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1498, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1821, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2039, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2328, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2125, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2352, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1258, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-0058, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-0408, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1384, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2020, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-3144, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1397, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2899, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1843, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-0890, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1486, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2021, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-3117, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-0857, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1464, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2177, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-3201, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-0847, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2976, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2194, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2735, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1537, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1538, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1634, DocREL: false, DocPrecision: .03, DocRecall: 1.00
