Precision: .04, Recall: .80, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .80, Precision At Rank 20: .20
DOCID: CACM-3032, DocREL: true, DocPrecision: 1.00, DocRecall: .20
DOCID: CACM-2949, DocREL: true, DocPrecision: 1.00, DocRecall: .40
DOCID: CACM-2890, DocREL: true, DocPrecision: 1.00, DocRecall: .60
DOCID: CACM-2849, DocREL: true, DocPrecision: 1.00, DocRecall: .80
DOCID: CACM-2892, DocREL: false, DocPrecision: .80, DocRecall: .80
DOCID: CACM-2371, DocREL: false, DocPrecision: .67, DocRecall: .80
DOCID: CACM-2776, DocREL: false, DocPrecision: .57, DocRecall: .80
DOCID: CACM-2951, DocREL: false, DocPrecision: .50, DocRecall: .80
DOCID: CACM-1685, DocREL: false, DocPrecision: .44, DocRecall: .80
DOCID: CACM-3158, DocREL: false, DocPrecision: .40, DocRecall: .80
DOCID: CACM-2197, DocREL: false, DocPrecision: .36, DocRecall: .80
DOCID: CACM-2969, DocREL: false, DocPrecision: .33, DocRecall: .80
DOCID: CACM-1723, DocREL: false, DocPrecision: .31, DocRecall: .80
DOCID: CACM-1928, DocREL: false, DocPrecision: .29, DocRecall: .80
DOCID: CACM-0828, DocREL: false, DocPrecision: .27, DocRecall: .80
DOCID: CACM-1846, DocREL: false, DocPrecision: .25, DocRecall: .80
DOCID: CACM-1695, DocREL: false, DocPrecision: .24, DocRecall: .80
DOCID: CACM-0441, DocREL: false, DocPrecision: .22, DocRecall: .80
DOCID: CACM-2515, DocREL: false, DocPrecision: .21, DocRecall: .80
DOCID: CACM-1261, DocREL: false, DocPrecision: .20, DocRecall: .80
DOCID: CACM-3040, DocREL: false, DocPrecision: .19, DocRecall: .80
DOCID: CACM-3038, DocREL: false, DocPrecision: .18, DocRecall: .80
DOCID: CACM-2274, DocREL: false, DocPrecision: .17, DocRecall: .80
DOCID: CACM-3076, DocREL: false, DocPrecision: .17, DocRecall: .80
DOCID: CACM-1890, DocREL: false, DocPrecision: .16, DocRecall: .80
DOCID: CACM-2712, DocREL: false, DocPrecision: .15, DocRecall: .80
DOCID: CACM-1989, DocREL: false, DocPrecision: .15, DocRecall: .80
DOCID: CACM-2894, DocREL: false, DocPrecision: .14, DocRecall: .80
DOCID: CACM-3070, DocREL: false, DocPrecision: .14, DocRecall: .80
DOCID: CACM-3133, DocREL: false, DocPrecision: .13, DocRecall: .80
DOCID: CACM-1611, DocREL: false, DocPrecision: .13, DocRecall: .80
DOCID: CACM-2948, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-2454, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-2630, DocREL: false, DocPrecision: .12, DocRecall: .80
DOCID: CACM-2988, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-2973, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-2289, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-2900, DocREL: false, DocPrecision: .11, DocRecall: .80
DOCID: CACM-3059, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-1811, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-2046, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-1906, DocREL: false, DocPrecision: .10, DocRecall: .80
DOCID: CACM-2598, DocREL: false, DocPrecision: .09, DocRecall: .80
DOCID: CACM-2751, DocREL: false, DocPrecision: .09, DocRecall: .80
DOCID: CACM-2852, DocREL: false, DocPrecision: .09, DocRecall: .80
DOCID: CACM-1551, DocREL: false, DocPrecision: .09, DocRecall: .80
DOCID: CACM-2924, DocREL: false, DocPrecision: .09, DocRecall: .80
DOCID: CACM-0303, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-1769, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-0417, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-3082, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-0367, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-1771, DocREL: false, DocPrecision: .08, DocRecall: .80
DOCID: CACM-3141, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-1034, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-1199, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-1516, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-0243, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-1572, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-1108, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-2196, DocREL: false, DocPrecision: .07, DocRecall: .80
DOCID: CACM-2344, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-2327, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-2572, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-1476, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-1326, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-1601, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-3153, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-2535, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-3164, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-1543, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-2096, DocREL: false, DocPrecision: .06, DocRecall: .80
DOCID: CACM-1590, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1745, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1844, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-3202, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-2984, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-3130, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1809, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-2453, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-2581, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-3021, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1032, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1290, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-2401, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-0595, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-3087, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-1159, DocREL: false, DocPrecision: .05, DocRecall: .80
DOCID: CACM-0531, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1503, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1750, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1348, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-2828, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1856, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-2163, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1002, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-2147, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-3160, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-1397, DocREL: false, DocPrecision: .04, DocRecall: .80
DOCID: CACM-2181, DocREL: false, DocPrecision: .04, DocRecall: .80
