Precision: .12, Recall: .63, Average Precision: .90, Reciprocal Rank: 1.00, Precision At Rank 5: 1.00, Precision At Rank 20: .55
DOCID: CACM-1539, DocREL: true, DocPrecision: 1.00, DocRecall: .05
DOCID: CACM-1840, DocREL: true, DocPrecision: 1.00, DocRecall: .11
DOCID: CACM-1841, DocREL: true, DocPrecision: 1.00, DocRecall: .16
DOCID: CACM-2089, DocREL: true, DocPrecision: 1.00, DocRecall: .21
DOCID: CACM-1537, DocREL: true, DocPrecision: 1.00, DocRecall: .26
DOCID: CACM-1538, DocREL: true, DocPrecision: 1.00, DocRecall: .32
DOCID: CACM-2462, DocREL: true, DocPrecision: 1.00, DocRecall: .37
DOCID: CACM-1933, DocREL: false, DocPrecision: .88, DocRecall: .37
DOCID: CACM-1967, DocREL: true, DocPrecision: .89, DocRecall: .42
DOCID: CACM-2770, DocREL: false, DocPrecision: .80, DocRecall: .42
DOCID: CACM-1420, DocREL: true, DocPrecision: .82, DocRecall: .47
DOCID: CACM-2927, DocREL: true, DocPrecision: .83, DocRecall: .53
DOCID: CACM-2507, DocREL: false, DocPrecision: .77, DocRecall: .53
DOCID: CACM-2206, DocREL: false, DocPrecision: .71, DocRecall: .53
DOCID: CACM-1094, DocREL: true, DocPrecision: .73, DocRecall: .58
DOCID: CACM-1717, DocREL: false, DocPrecision: .69, DocRecall: .58
DOCID: CACM-1691, DocREL: false, DocPrecision: .65, DocRecall: .58
DOCID: CACM-2067, DocREL: false, DocPrecision: .61, DocRecall: .58
DOCID: CACM-2109, DocREL: false, DocPrecision: .58, DocRecall: .58
DOCID: CACM-3021, DocREL: false, DocPrecision: .55, DocRecall: .58
DOCID: CACM-3037, DocREL: true, DocPrecision: .57, DocRecall: .63
DOCID: CACM-2726, DocREL: false, DocPrecision: .55, DocRecall: .63
DOCID: CACM-1386, DocREL: false, DocPrecision: .52, DocRecall: .63
DOCID: CACM-2424, DocREL: false, DocPrecision: .50, DocRecall: .63
DOCID: CACM-2087, DocREL: false, DocPrecision: .48, DocRecall: .63
DOCID: CACM-1725, DocREL: false, DocPrecision: .46, DocRecall: .63
DOCID: CACM-2644, DocREL: false, DocPrecision: .44, DocRecall: .63
DOCID: CACM-1812, DocREL: false, DocPrecision: .43, DocRecall: .63
DOCID: CACM-2138, DocREL: false, DocPrecision: .41, DocRecall: .63
DOCID: CACM-2306, DocREL: false, DocPrecision: .40, DocRecall: .63
DOCID: CACM-1704, DocREL: false, DocPrecision: .39, DocRecall: .63
DOCID: CACM-2621, DocREL: false, DocPrecision: .38, DocRecall: .63
DOCID: CACM-2334, DocREL: false, DocPrecision: .36, DocRecall: .63
DOCID: CACM-0944, DocREL: false, DocPrecision: .35, DocRecall: .63
DOCID: CACM-2122, DocREL: false, DocPrecision: .34, DocRecall: .63
DOCID: CACM-3131, DocREL: false, DocPrecision: .33, DocRecall: .63
DOCID: CACM-1794, DocREL: false, DocPrecision: .32, DocRecall: .63
DOCID: CACM-1894, DocREL: false, DocPrecision: .32, DocRecall: .63
DOCID: CACM-1716, DocREL: false, DocPrecision: .31, DocRecall: .63
DOCID: CACM-2057, DocREL: false, DocPrecision: .30, DocRecall: .63
DOCID: CACM-2605, DocREL: false, DocPrecision: .29, DocRecall: .63
DOCID: CACM-0294, DocREL: false, DocPrecision: .29, DocRecall: .63
DOCID: CACM-1408, DocREL: false, DocPrecision: .28, DocRecall: .63
DOCID: CACM-0197, DocREL: false, DocPrecision: .27, DocRecall: .63
