Precision: .02, Recall: 1.00, Average Precision: .70, Reciprocal Rank: 1.00, Precision At Rank 5: .40, Precision At Rank 20: .10
DOCID: CACM-3047, DocREL: true, DocPrecision: 1.00, DocRecall: .50
DOCID: CACM-1686, DocREL: false, DocPrecision: .50, DocRecall: .50
DOCID: CACM-2142, DocREL: false, DocPrecision: .33, DocRecall: .50
DOCID: CACM-3013, DocREL: false, DocPrecision: .25, DocRecall: .50
DOCID: CACM-2125, DocREL: true, DocPrecision: .40, DocRecall: 1.00
DOCID: CACM-1144, DocREL: false, DocPrecision: .33, DocRecall: 1.00
DOCID: CACM-2283, DocREL: false, DocPrecision: .29, DocRecall: 1.00
DOCID: CACM-1327, DocREL: false, DocPrecision: .25, DocRecall: 1.00
DOCID: CACM-2370, DocREL: false, DocPrecision: .22, DocRecall: 1.00
DOCID: CACM-2065, DocREL: false, DocPrecision: .20, DocRecall: 1.00
DOCID: CACM-3015, DocREL: false, DocPrecision: .18, DocRecall: 1.00
DOCID: CACM-2211, DocREL: false, DocPrecision: .17, DocRecall: 1.00
DOCID: CACM-2826, DocREL: false, DocPrecision: .15, DocRecall: 1.00
DOCID: CACM-1891, DocREL: false, DocPrecision: .14, DocRecall: 1.00
DOCID: CACM-2231, DocREL: false, DocPrecision: .13, DocRecall: 1.00
DOCID: CACM-2421, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-1741, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-2004, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-1108, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-1571, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-0533, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-2674, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-2402, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-1543, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-0605, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-2628, DocREL: false, DocPrecision: .08, DocRecall: 1.00
