Precision: .01, Recall: 1.00, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .20, Precision At Rank 20: .05
DOCID: CACM-2805, DocREL: true, DocPrecision: 1.00, DocRecall: 1.00
DOCID: CACM-2554, DocREL: false, DocPrecision: .50, DocRecall: 1.00
DOCID: CACM-2047, DocREL: false, DocPrecision: .33, DocRecall: 1.00
DOCID: CACM-1954, DocREL: false, DocPrecision: .25, DocRecall: 1.00
DOCID: CACM-2043, DocREL: false, DocPrecision: .20, DocRecall: 1.00
DOCID: CACM-2697, DocREL: false, DocPrecision: .17, DocRecall: 1.00
DOCID: CACM-1809, DocREL: false, DocPrecision: .14, DocRecall: 1.00
DOCID: CACM-2284, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-2335, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-2806, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-1501, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-1423, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-2695, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-2081, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-0070, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-3016, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-2281, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1116, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1347, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-3152, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1963, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-3085, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-3115, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1707, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2000, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2807, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2226, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1614, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2809, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2134, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1143, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1998, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-3200, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2787, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1692, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2186, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-0441, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1787, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-3153, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1457, DocREL: false, DocPrecision: .03, DocRecall: 1.00
