Precision: .05, Recall: .62, Average Precision: .19, Reciprocal Rank: .50, Precision At Rank 5: .20, Precision At Rank 20: .10
DOCID: CACM-1699, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-1681, DocREL: true, DocPrecision: .50, DocRecall: .12
DOCID: CACM-3012, DocREL: false, DocPrecision: .33, DocRecall: .12
DOCID: CACM-2990, DocREL: false, DocPrecision: .25, DocRecall: .12
DOCID: CACM-3134, DocREL: false, DocPrecision: .20, DocRecall: .12
DOCID: CACM-1457, DocREL: false, DocPrecision: .17, DocRecall: .12
DOCID: CACM-1032, DocREL: false, DocPrecision: .14, DocRecall: .12
DOCID: CACM-2519, DocREL: false, DocPrecision: .12, DocRecall: .12
DOCID: CACM-2882, DocREL: false, DocPrecision: .11, DocRecall: .12
DOCID: CACM-2163, DocREL: false, DocPrecision: .10, DocRecall: .12
DOCID: CACM-2795, DocREL: true, DocPrecision: .18, DocRecall: .25
DOCID: CACM-2307, DocREL: false, DocPrecision: .17, DocRecall: .25
DOCID: CACM-1514, DocREL: false, DocPrecision: .15, DocRecall: .25
DOCID: CACM-1927, DocREL: false, DocPrecision: .14, DocRecall: .25
DOCID: CACM-1935, DocREL: false, DocPrecision: .13, DocRecall: .25
DOCID: CACM-2288, DocREL: false, DocPrecision: .12, DocRecall: .25
DOCID: CACM-2479, DocREL: false, DocPrecision: .12, DocRecall: .25
DOCID: CACM-0239, DocREL: false, DocPrecision: .11, DocRecall: .25
DOCID: CACM-2631, DocREL: false, DocPrecision: .11, DocRecall: .25
DOCID: CACM-2852, DocREL: false, DocPrecision: .10, DocRecall: .25
DOCID: CACM-0891, DocREL: false, DocPrecision: .10, DocRecall: .25
DOCID: CACM-2516, DocREL: false, DocPrecision: .09, DocRecall: .25
DOCID: CACM-2390, DocREL: true, DocPrecision: .13, DocRecall: .38
DOCID: CACM-2160, DocREL: false, DocPrecision: .12, DocRecall: .38
DOCID: CACM-1725, DocREL: false, DocPrecision: .12, DocRecall: .38
DOCID: CACM-0440, DocREL: false, DocPrecision: .12, DocRecall: .38
DOCID: CACM-2358, DocREL: false, DocPrecision: .11, DocRecall: .38
DOCID: CACM-1652, DocREL: false, DocPrecision: .11, DocRecall: .38
DOCID: CACM-1745, DocREL: false, DocPrecision: .10, DocRecall: .38
DOCID: CACM-2451, DocREL: false, DocPrecision: .10, DocRecall: .38
DOCID: CACM-1959, DocREL: false, DocPrecision: .10, DocRecall: .38
DOCID: CACM-1236, DocREL: false, DocPrecision: .09, DocRecall: .38
DOCID: CACM-2846, DocREL: false, DocPrecision: .09, DocRecall: .38
DOCID: CACM-1233, DocREL: false, DocPrecision: .09, DocRecall: .38
DOCID: CACM-3011, DocREL: false, DocPrecision: .09, DocRecall: .38
DOCID: CACM-1267, DocREL: false, DocPrecision: .08, DocRecall: .38
DOCID: CACM-1627, DocREL: false, DocPrecision: .08, DocRecall: .38
DOCID: CACM-1199, DocREL: false, DocPrecision: .08, DocRecall: .38
DOCID: CACM-2947, DocREL: false, DocPrecision: .08, DocRecall: .38
DOCID: CACM-0651, DocREL: false, DocPrecision: .07, DocRecall: .38
DOCID: CACM-2092, DocREL: false, DocPrecision: .07, DocRecall: .38
DOCID: CACM-2561, DocREL: true, DocPrecision: .10, DocRecall: .50
DOCID: CACM-3090, DocREL: false, DocPrecision: .09, DocRecall: .50
DOCID: CACM-2870, DocREL: false, DocPrecision: .09, DocRecall: .50
DOCID: CACM-2711, DocREL: false, DocPrecision: .09, DocRecall: .50
DOCID: CACM-1808, DocREL: false, DocPrecision: .09, DocRecall: .50
DOCID: CACM-1527, DocREL: false, DocPrecision: .09, DocRecall: .50
DOCID: CACM-2140, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-1747, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-1290, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-1359, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-1769, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-2626, DocREL: false, DocPrecision: .08, DocRecall: .50
DOCID: CACM-2198, DocREL: false, DocPrecision: .07, DocRecall: .50
DOCID: CACM-0634, DocREL: false, DocPrecision: .07, DocRecall: .50
DOCID: CACM-2812, DocREL: false, DocPrecision: .07, DocRecall: .50
